!# This pad file is for the IFX 2S sensor for the 8-inch runs

Campaign: Infineon 8-inch 2S					
Creator: Dominic Bloech 11.1.2018
				
reference pad: 1			
reference pad: 127				
reference pad: 128			

pad strip	x	y	z				
1	1	0	0	0	10000
2	2	-90	0	0	10000
3	3	-180	0	0	10000
4	4	-270	0	0	10000
5	5	-360	0	0	10000
6	6	-450	0	0	10000
7	7	-540	0	0	10000
8	8	-630	0	0	10000
9	9	-720	0	0	10000
10	10	-810	0	0	10000
11	11	-900	0	0	10000
12	12	-990	0	0	10000
13	13	-1080	0	0	10000
14	14	-1170	0	0	10000
15	15	-1260	0	0	10000
16	16	-1350	0	0	10000
17	17	-1440	0	0	10000
18	18	-1530	0	0	10000
19	19	-1620	0	0	10000
20	20	-1710	0	0	10000
21	21	-1800	0	0	10000
22	22	-1890	0	0	10000
23	23	-1980	0	0	10000
24	24	-2070	0	0	10000
25	25	-2160	0	0	10000
26	26	-2250	0	0	10000
27	27	-2340	0	0	10000
28	28	-2430	0	0	10000
29	29	-2520	0	0	10000
30	30	-2610	0	0	10000
31	31	-2700	0	0	10000
32	32	-2790	0	0	10000
33	33	-2880	0	0	10000
34	34	-2970	0	0	10000
35	35	-3060	0	0	10000
36	36	-3150	0	0	10000
37	37	-3240	0	0	10000
38	38	-3330	0	0	10000
39	39	-3420	0	0	10000
40	40	-3510	0	0	10000
41	41	-3600	0	0	10000
42	42	-3690	0	0	10000
43	43	-3780	0	0	10000
44	44	-3870	0	0	10000
45	45	-3960	0	0	10000
46	46	-4050	0	0	10000
47	47	-4140	0	0	10000
48	48	-4230	0	0	10000
49	49	-4320	0	0	10000
50	50	-4410	0	0	10000
51	51	-4500	0	0	10000
52	52	-4590	0	0	10000
53	53	-4680	0	0	10000
54	54	-4770	0	0	10000
55	55	-4860	0	0	10000
56	56	-4950	0	0	10000
57	57	-5040	0	0	10000
58	58	-5130	0	0	10000
59	59	-5220	0	0	10000
60	60	-5310	0	0	10000
61	61	-5400	0	0	10000
62	62	-5490	0	0	10000
63	63	-5580	0	0	10000
64	64	-5670	0	0	10000
65	65	-5760	0	0	10000
66	66	-5850	0	0	10000
67	67	-5940	0	0	10000
68	68	-6030	0	0	10000
69	69	-6120	0	0	10000
70	70	-6210	0	0	10000
71	71	-6300	0	0	10000
72	72	-6390	0	0	10000
73	73	-6480	0	0	10000
74	74	-6570	0	0	10000
75	75	-6660	0	0	10000
76	76	-6750	0	0	10000
77	77	-6840	0	0	10000
78	78	-6930	0	0	10000
79	79	-7020	0	0	10000
80	80	-7110	0	0	10000
81	81	-7200	0	0	10000
82	82	-7290	0	0	10000
83	83	-7380	0	0	10000
84	84	-7470	0	0	10000
85	85	-7560	0	0	10000
86	86	-7650	0	0	10000
87	87	-7740	0	0	10000
88	88	-7830	0	0	10000
89	89	-7920	0	0	10000
90	90	-8010	0	0	10000
91	91	-8100	0	0	10000
92	92	-8190	0	0	10000
93	93	-8280	0	0	10000
94	94	-8370	0	0	10000
95	95	-8460	0	0	10000
96	96	-8550	0	0	10000
97	97	-8640	0	0	10000
98	98	-8730	0	0	10000
99	99	-8820	0	0	10000
100	100	-8910	0	0	10000
101	101	-9000	0	0	10000
102	102	-9090	0	0	10000
103	103	-9180	0	0	10000
104	104	-9270	0	0	10000
105	105	-9360	0	0	10000
106	106	-9450	0	0	10000
107	107	-9540	0	0	10000
108	108	-9630	0	0	10000
109	109	-9720	0	0	10000
110	110	-9810	0	0	10000
111	111	-9900	0	0	10000
112	112	-9990	0	0	10000
113	113	-10080	0	0	10000
114	114	-10170	0	0	10000
115	115	-10260	0	0	10000
116	116	-10350	0	0	10000
117	117	-10440	0	0	10000
118	118	-10530	0	0	10000
119	119	-10620	0	0	10000
120	120	-10710	0	0	10000
121	121	-10800	0	0	10000
122	122	-10890	0	0	10000
123	123	-10980	0	0	10000
124	124	-11070	0	0	10000
125	125	-11160	0	0	10000
126	126	-11250	0	0	10000
127	127	-11340	0	0	10000
128	128	-11340	-11871	0	10000
129	129	-11250	-11871	0	10000
130	130	-11160	-11871	0	10000
131	131	-11070	-11871	0	10000
132	132	-10980	-11871	0	10000
133	133	-10890	-11871	0	10000
134	134	-10800	-11871	0	10000
135	135	-10710	-11871	0	10000
136	136	-10620	-11871	0	10000
137	137	-10530	-11871	0	10000
138	138	-10440	-11871	0	10000
139	139	-10350	-11871	0	10000
140	140	-10260	-11871	0	10000
141	141	-10170	-11871	0	10000
